CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ,DensityMagnet,DensityabsMagnet,DensityChiral
0.0,0.0,6.1400000000000005e-06,1.06e-06,0.12963542,0.19999948,0.70924774,-3.350214381889429e-07
0.5,0.0,1.6999999999999996e-06,7.340000000000001e-06,3.399999999986747e-07,0.24148061999999998,0.71156614,-0.0006530260154889722
1.0,0.0,-1.12e-06,2.9999999999999983e-07,-2.7200000000005e-06,0.28276293999999996,0.71822494,-0.0013088452025884982
1.5,0.0,1.4400000000000001e-05,8.66e-06,-6.079999999986096e-06,0.32361614,0.72811182,-0.001962287408605197
2.0,0.0,9.88e-06,7.8e-06,0.00254218,0.39134932,0.6924234799999999,-8.383063414544864
2.5,0.0,4.66e-06,7.080000000000002e-06,-2.02e-06,0.57510958,0.78735766,-6.740501802431254
3.0,0.0,2.34e-06,1.9400000000000005e-06,1.2705494208814505e-22,0.46744512,0.72919384,-9.103089144350474
3.5,0.0,2.2e-06,-2.7200000000000002e-06,-1.4399999999999998e-06,0.4997022400000001,0.73315904,-8.915777801208943
4.0,0.0,-3.4e-07,-2.34e-06,-2.64e-06,0.53296216,0.72799782,-8.45641288089789
4.5,0.0,-6.840000000000001e-06,-4e-08,-1.1e-06,0.56963298,0.71787446,-7.751966233658751
5.0,0.0,-1.098e-05,1.999999999999999e-06,6.379999999999999e-06,0.6110925,0.70678298,-6.8299998225420895
5.5,0.0,-5.34e-06,6.120000000000001e-06,-2.1260000000000003e-05,0.74932446,0.77078568,-2.2642738231277795
6.0,0.0,-5.819999999999999e-06,-5.233999999999999e-05,-1.5020000000000002e-05,0.7202305000000001,0.72390336,-1.1105196659971543
6.5,0.0,-4.798e-05,3.574e-05,0.014846880000000002,0.77138832,0.77138832,-0.2621986510015629
7.0,0.0,-0.00054132,-0.0005932800000000001,-0.03335597999999999,0.81861768,0.81861768,-0.04380157499864719
7.5,0.0,-1.316e-05,-9.516e-05,-0.027604799999999995,0.8647491,0.8647491,-0.00030819664564758607
8.0,0.0,1.436e-05,-2.9320000000000004e-05,-0.0002137199999999992,0.9098253399999999,0.9098253399999999,-0.00019430845527264854
8.5,0.0,3.5499999999999996e-05,2.306e-05,-0.016895900000000002,0.95500036,0.95500036,-7.46349778296977e-05
9.0,0.0,-9.6e-07,1.02e-06,9.4e-07,0.9990725599999999,0.9990725599999999,-6.127470484690873e-08
9.5,0.0,-4e-07,7.2e-07,-2e-08,0.9996199000000001,0.9996199000000001,-3.978876938110956e-09
0.0,0.1,0.01131954,0.01701916,-0.00031413999999999607,0.19999986,0.70866786,-2.4127909752704843e-06
0.5,0.1,0.01827906,0.01543034,-0.06426006000000001,0.24149384000000002,0.71084612,-0.000648447123908594
1.0,0.1,0.0071743399999999995,0.012970180000000001,0.1255311,0.28278346,0.71787172,-0.0013034562116635208
1.5,0.1,0.00618794,0.02126798,0.06026176000000001,0.32365328,0.7284240599999999,-0.001957141129173444
2.0,0.1,0.01026802,0.01042186,-0.0053159,0.39139722,0.69249812,-8.382001189684205
2.5,0.1,0.00852878,0.00851962,9.836e-05,0.5751312399999999,0.78726956,-6.737400805006383
3.0,0.1,0.01231838,0.01231996,0.00016888,0.4674684,0.72964138,-9.098942105749
3.5,0.1,0.013111519999999998,0.01312218,0.00020438000000000002,0.49972076000000004,0.7334626399999999,-8.911836735538374
4.0,0.1,0.0136849,0.01368684,0.00023680000000000004,0.53297372,0.7281688,-8.452861428448651
4.5,0.1,0.01385004,0.013857959999999999,0.00025968000000000003,0.56962992,0.7179755800000001,-7.7489320463523255
5.0,0.1,0.01342556,0.013424700000000001,0.00030261999999999997,0.61107206,0.7072708000000001,-6.827518212115521
5.5,0.1,0.0157174,0.01572974,0.00074664,0.748413,0.77158642,-2.500582680266999
6.0,0.1,0.03442186,0.0343997,0.0035459199999999997,0.71993274,0.7236083000000001,-1.1109952070448403
6.5,0.1,0.06414742,0.09629132,0.058266439999999996,0.77244068,0.77244068,-0.06602432367049807
7.0,0.1,0.05311322,0.07293104000000002,0.06645232,0.81831686,0.81831686,-0.0003463548712594578
7.5,0.1,0.038452299999999995,0.03883312,0.052435659999999995,0.86369132,0.86369132,-0.0002882489440060606
8.0,0.1,0.027886139999999997,0.02495946,0.07842588,0.90947722,0.90947722,-0.00010168258747958835
8.5,0.1,0.012895879999999998,0.01298326,0.063378,0.9547235199999999,0.9547235199999999,-2.583086908221633e-06
9.0,0.1,0.00265122,0.0026515,4.22e-06,0.9990716199999999,0.9990716199999999,-8.435219108795227e-08
